Data No,Pt,Au,Ru,Rh,Ir,Pd,IWI,WI,CI,SI,SGP,CP,DP,HP,PDP,T (oC),hr,Al_s,Mg_s,Ce_s,Cu_s,Ti_s,zeolite_s,Zn_s,Mn_s,Fe_s,AcC_s,Nb_s,Si_s,Zr_s,La_s,Co_s,Ce_p,Co_p,Mg_p,Fe_p,Mn_p,Zr_p,K_p,Ni_p,Sn_p,Li_p,Na_p,Rb_p,Cs_p,Nb_p,La_p,Ba_p,Pb_p,Sm_p,Zn_p,Cu_p,H2O%,CO2%,TOS,CO %,O2%,H2%,F/W,Temp,Conv
17,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,900,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,130.0,21.0
18,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,900,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,145.0,70.0
19,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,900,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,155.0,100.0
20,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,900,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,165.0,100.0
21,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,900,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,190.0,100.0
22,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,55.0,0.0
23,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,60.0,3.0
24,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,70.0,16.0
25,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,75.0,17.0
26,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,85.0,33.0
27,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,95.0,100.0
28,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,105.0,100.0
29,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,75.0,0.0
30,0.0,0.0,0.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,0,500,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,1.0,3.0,60000.0,80.0,5.0
