Data No,Pt,Au,Ru,Rh,Ir,Pd,IWI,WI,CI,SI,SGP,CP,DP,HP,PDP,T (oC),hr,Al_s,Mg_s,Ce_s,Cu_s,Ti_s,zeolite_s,Zn_s,Mn_s,Fe_s,AcC_s,Nb_s,Si_s,Zr_s,La_s,Co_s,Ce_p,Co_p,Mg_p,Fe_p,Mn_p,Zr_p,K_p,Ni_p,Sn_p,Li_p,Na_p,Rb_p,Cs_p,Nb_p,La_p,Ba_p,Pb_p,Sm_p,Zn_p,Cu_p,H2O%,CO2%,TOS,CO %,O2%,H2%,F/W,Temp,Conv
1762,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,1.0,0.75,0.0,60000.0,112.0,8.0
1763,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,1.0,0.75,0.0,60000.0,108.0,7.0
1764,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,1.0,0.75,0.0,60000.0,104.0,7.0
1765,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,230.0,62.0
1766,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,220.0,68.0
1767,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,210.0,69.0
1768,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,200.0,70.2
1769,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,190.0,70.0
1770,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,180.0,69.0
1771,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,170.0,68.0
1772,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,160.0,65.0
1773,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,150.0,61.0
1774,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,140.0,52.0
1775,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,130.0,39.0
1776,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,230.0,68.0
1777,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,220.0,76.0
1778,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,210.0,84.0
1779,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,200.0,88.0
1780,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,190.0,91.0
1781,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,180.0,82.0
1782,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,170.0,93.1
1783,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,160.0,88.0
1784,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,150.0,64.0
1785,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,140.0,39.0
1786,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,20.0,15.0,1.0,0.75,65.0,60000.0,130.0,14.0
1787,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,230.0,88.0
1788,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,220.0,90.0
1789,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,210.0,92.0
1790,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,200.0,94.0
1791,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,190.0,98.0
1792,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,180.0,99.0
1793,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,170.0,99.4
1794,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,160.0,93.0
1795,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,150.0,80.0
1796,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,140.0,55.0
1797,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.75,65.0,60000.0,130.0,30.0
1798,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,230.0,59.0
1799,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,220.0,69.0
1800,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,210.0,79.0
1801,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,200.0,84.0
1802,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,190.0,91.0
1803,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,180.0,94.0
1804,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,170.0,94.6
1805,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,160.0,64.0
1806,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,150.0,32.0
1807,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,140.0,17.0
1808,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,1.0,0.75,65.0,60000.0,130.0,8.0
1809,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,230.0,70.0
1810,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,220.0,78.0
1811,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,210.0,82.0
1812,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,200.0,84.0
1813,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,190.0,86.0
1814,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,180.0,87.0
1815,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,170.0,87.9
1816,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,160.0,86.0
1817,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,150.0,82.0
1818,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,140.0,74.0
1819,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,20.0,15.0,1.0,0.75,65.0,60000.0,130.0,60.0
1824,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,98.0,60000.0,250.0,93.0
1825,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,98.0,60000.0,200.0,99.0
1826,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,98.0,60000.0,150.0,93.0
1827,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,98.0,60000.0,100.0,13.0
1828,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,400,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,98.0,60000.0,250.0,71.0
